id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
BR020021,NC(=S)N/N=C1\CCCC[C@H]1[C@H](O)c1ccncc1,278.381,83.53,5,4,1.4944,3,2
BR010152,OC[C@H]1O[C@@H](Oc2ccc(CNCc3ccccc3)cc2)[C@H](O)[C@@H](O)[C@H]1O,375.421,111.41000000000001,7,5,0.15509999999999968,7,3
V1_5_194,CCCCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](OC(=O)CCCCCCCCCCCCCCC)[C@H](Oc2ccc(C=O)cc2OC)O[C@@H]2CO[C@H](c3ccccc3)O[C@@H]12,879.2290000000005,115.82000000000002,10,0,13.511799999999978,35,4
V1_5_737,C=CCc1ccc(O[C@@H]2O[C@H](COC(C)=O)[C@@H](O[C@@H]3O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]3OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)c(OC)c1,782.7450000000002,230.24999999999997,19,0,1.4222000000000046,16,3
V1_5_686,CC1C(=O)CC[C@H]2[C@]3(C)CC[C@@]4(C)[C@@H]5CC(C)(C)CC[C@]5(C=O)CC[C@]4(C)[C@H]3CC[C@]12C,440.71200000000033,34.14,2,0,7.636000000000009,1,5
BR020315,CO[C@H]1O[C@@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@H](O)[C@H]1O,282.29200000000003,77.38000000000001,6,2,0.19369999999999987,2,3
V1_5_756,CCCc1cc(NC(=O)c2ccc(Cl)cc2)c(O)c(OC)c1,319.78800000000007,58.56,4,2,4.259000000000003,5,2
V1_5_693,CC(=O)OC[C@]12C(OC(=O)c3ccccc3)C(=O)C3[C@@H](OC(C)=O)[C@]1(OC3(C)C)[C@H](C)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(=O)c1ccccc1,708.7130000000004,184.09999999999997,14,0,3.1784000000000017,9,5
V1_5_875,c1ccc(-c2ccc3c(c2)C[C@H](CN2CCNCC2)O3)cc1,294.3979999999999,24.5,3,1,2.5623000000000005,3,4
V1_5_697,C[C@@H]1[C@@]23CC[C@H]4[C@@](C)(CC[C@@]5(C)[C@@H]6C[C@](C)(C(=O)O)CC[C@]6(C)CC[C@]45C)[C@@H]2C[C@@H](O)[C@]1(O)OC3,488.70900000000034,86.99000000000001,5,3,5.622300000000006,1,6
BR010027,N#Cc1ccccc1/C=C/C(=O)O,173.17099999999996,61.09,3,1,1.6560799999999998,2,1
BR010316,CN1[C@H]2CO[C@@H](c3ccccc3)O[C@H]2[C@@H]2O[C@@H](c3ccccc3)OC[C@@H]21,353.41800000000006,40.160000000000004,5,0,2.897400000000001,2,5
V1_5_291,O=C(CCc1ccc(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1)NCCO,371.3860000000001,148.71,9,6,-2.0935999999999986,8,2
V1_5_139,CCCCCCCCCC/C=C/CCc1ccc(O)cc1,288.47499999999997,20.23,1,1,6.4118000000000075,12,1
V1_5_548,O=C1CCCCCN1,113.16000000000001,29.1,2,1,0.6766000000000001,0,1
BR020191,C/C(CCO)=N\Nc1ccc([N+](=O)[O-])cc1,223.232,87.76,6,2,1.7649999999999997,5,1
BR020305,CC1(C)O[C@H]2O[C@H](CN=[N+]=[N-])[C@H](OC(=O)c3ccccc3I)[C@H]2O1,445.213,102.75000000000001,8,0,3.003300000000002,4,3
BR010659,COc1cc(-c2nc3cc(C(=N)N)ccc3[nH]2)ccc1O[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,612.5920000000004,211.43999999999997,15,4,1.9844699999999995,10,4
BR010549,NC(COc1ccccc1Cl)COc1ccccc1Cl,312.196,44.480000000000004,3,2,3.778500000000003,6,2
BR010626,O=[N+]([O-])c1ccc(OCC(COc2ccc([N+](=O)[O-])cc2)N2CCCCC2)cc1,401.4190000000002,107.98,9,0,3.8153000000000032,9,3
BR010638,O=C(COc1cccc([N+](=O)[O-])c1)COc1cccc([N+](=O)[O-])c1,332.26800000000003,121.81,9,0,2.5299000000000005,8,2
BR010352,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](OC/C=C/c2ccccc2)[C@@H]1O,296.319,99.38000000000001,6,4,-0.48370000000000063,5,2
V1_5_372,CCOP(=S)(OCC)C(F)(F)[C@H](O)[C@@H](OCc1ccccc1)[C@H](OCc1ccccc1)[C@@H](COCc1ccccc1)OCc1ccccc1,714.8080000000001,75.61000000000001,7,1,8.295600000000007,22,4
V1_5_452,COC(=O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](C)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)cc1,460.4320000000001,184.6,12,6,-2.496299999999997,6,3
V1_5_580,COc1cc(C(=O)O)cc(OC)c1O,198.17399999999998,75.99000000000001,5,2,1.1076,3,1
BR010678,COc1cc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)ccc1O[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1NC(C)=O,614.5640000000003,207.51,16,2,2.1815999999999995,10,4
BR020372,O=C1/C(=C/c2cccc3cnccc23)CC/C1=C\c1cccc2cnccc12,362.432,42.85,3,0,5.612900000000005,2,5
BR010355,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](OCCCc2ccccc2)[C@@H]1O,298.335,99.38000000000001,6,4,-0.5643000000000007,6,2
V1_5_12,O=c1c(O[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,434.3530000000002,190.27999999999997,11,7,0.10019999999999951,4,4
BR010134,COC(=O)c1ccc(O[C@@H]2O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2OC(C)=O)c(NC(C)=O)c1,539.4900000000004,179.06,14,1,0.8935,9,2
BR020200,Cc1[nH]c2ccc([N+](=O)[O-])cc2c1CO,206.20099999999996,79.16,5,2,1.87682,2,2
V1_5_731,C=CCc1cc(OC)c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1NS(=O)(=O)c1ccc([N+](=O)[O-])cc1,526.5200000000002,197.92,13,5,0.3113999999999995,10,3
