id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount,Lipinski
CHEMBL5197498,CCCCCNC(=O)[C@@]1(C)CCC[C@]2(C)c3cc(OC(=O)CCCNCCCCCCCCNCCCNC(=O)Oc4ccc5c(c4)[C@@]4(C)CCC[C@](C)(C(=O)NCCCCC)[C@@H]4CC5)ccc3CC[C@@H]12,982.4489999999995,146.89000000000001,11,5,11.70409999999999,29,6,0
CHEMBL4636024,CCCCCCCC(=O)C1C(=O)/C(=C/c2ccccc2)N(C(C)=O)C1=O,355.43400000000014,71.52000000000001,5,0,3.531100000000002,8,2,1
CHEMBL4293002,COC(=O)c1cc2c3ccccc3n(Cc3cccc(C(F)(F)F)c3)c2c(-c2cn(C(C)=O)c3ccccc23)n1,541.5290000000001,66.12,6,0,7.325000000000005,4,6,0
CHEMBL4764665,Cc1ccc(C2CC(COc3ccc(F)c(C(N)=O)c3F)=NO2)cc1,346.333,73.91000000000001,5,2,3.2685200000000014,5,3,1
CHEMBL4074345,C=CC1=C(C)C(=O)C=C2c3ccc(O)c(C)c3CC[C@]21O,282.33899999999994,57.53,3,2,2.8465200000000013,1,3,1
CHEMBL44183,CN(Cc1cc2ccccc2n1C)C(=O)C=Cc1cnc2c(c1)CCC(=O)N2,374.44400000000013,67.23,6,1,3.1298000000000012,4,4,1
CHEMBL2370731,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CCO)C(=O)NC1C(=O)NCC(=O)NC(CCCNC(=O)C(N)CCCN=C(C)N)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC([C@H](C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,1761.911,752.4300000000001,46,28,-6.07199999999997,41,4,0
CHEMBL227774,COc1cc(N(C)CCCNC(=O)NC(CCCCN)C(=O)O)c2nc(C(C)(C)C)ccc2c1,473.6180000000003,129.81,9,5,3.2486000000000024,12,2,1
CHEMBL4586428,C[n+]1c(/C=C/c2c[nH]c3ccccc23)cc(NCCN2CCOCC2)c2ccccc21,413.54500000000024,44.17,5,2,4.060100000000003,6,5,1
CHEMBL511870,Clc1ccc(Nc2nc3cc(Cl)c(Cl)cc3[nH]2)cc1Cl,347.03200000000004,40.71,3,2,5.920100000000001,2,3,0
CHEMBL4453896,CC(C)(C)c1ccc(Cn2nc(COc3ccc(F)c(C(N)=O)c3F)oc2=O)cc1,417.41200000000015,100.35,7,2,3.138200000000001,6,3,1
CHEMBL2370742,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CCO)C(=O)NC1C(=O)NCC(=O)NC(CCCNC(=O)c2ccc(N)cc2)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC([C@H](C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,1725.8330000000003,714.0500000000001,44,26,-4.660599999999986,37,5,0
CHEMBL4849707,COc1cc(NC(=O)CCC(=O)NCCCNCCCCCCCCCCNCCCNC(=O)CCC(=O)Nc2cc(OC)cc3cccnc23)c2ncccc2c1,799.0300000000003,184.7,14,6,6.250400000000005,29,4,0
CHEMBL4549306,CO[C@]1(C)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@@H](COCc2cn(-c3cccc(C(F)(F)F)c3)nn2)OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O,960.1419999999999,188.79,17,3,4.457700000000008,12,5,0
CHEMBL4870482,CO[C@]1(C)C[C@@H](C)[C@H](OC(=O)c2ccc([N+](=O)[O-])cc2)[C@H](C)CN(C)CCOC(=O)C(C)C(=O)C(C)[C@H]1O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1OC(=O)c1ccc([N+](=O)[O-])cc1,842.9400000000002,216.41999999999996,18,0,5.101600000000006,10,4,0
CHEMBL5203572,COc1cc2c(oc(=O)c3cc([C@H](C)O)cc(OC)c32)c2c([C@H]3O[C@@H]([C@@H](C)O)[C@H](O)[C@H]3O)ccc(O)c12,512.5110000000002,159.05,10,5,2.4180000000000006,5,5,0
CHEMBL1950096,CCCCCCCCNC(=O)C(Cc1ccccc1)NC(=O)C(CCCCNC(=O)C(CCCCN)NC(=O)OCc1ccccc1Cl)NC(=O)C(CCCCN)NC(=O)OCc1ccccc1Cl,998.1069999999999,245.1,16,10,7.11670000000001,34,3,0
CHEMBL4866250,CC[C@H]1OC(=O)C(C)[C@@H](OC(=O)NNC(=O)Cn2cc(-c3ccc(-c4ccccc4)cc3)nn2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@H]2OC(=O)O[C@@]21C,936.1169999999997,225.36999999999995,19,4,4.548500000000005,9,6,0
CHEMBL1275846,CO[C@@H]1[C@@H](OC(=O)c2ccc(C)[nH]2)[C@@H](O)[C@H](Oc2ccc3c(=O)c(NC(=O)C=Cc4ccccc4)c(O)oc3c2Cl)OC1(C)C,639.057,169.54999999999998,12,4,4.555620000000003,8,5,0
CHEMBL4127291,COc1cc(-c2ccccc2)cc2c3ccccc3c[n+](C)c12,300.38100000000003,13.11,2,0,4.493100000000004,2,4,1
CHEMBL2370749,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(N)=O)C(=O)NC(CCO)C(=O)NC1C(=O)NCC(=O)NC(CCCNC(=O)C(N)Cc2cncs2)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NCC(=O)NC(CO)C(=O)NC([C@H](C)CC(=O)O)C(=O)NC(CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,1760.9040000000002,726.94,45,26,-5.530099999999988,39,5,0
CHEMBL1084758,CCCCC(CN(O)C=O)C(=O)N1CC=CC1C(=O)Nc1ccc(OC)cc1,389.4520000000001,99.18,8,2,2.054699999999999,10,2,1
CHEMBL4865742,Cc1ccc(C(=O)NNC(=O)c2cc(I)cc(I)c2O)cc1,522.0800000000002,78.43,5,3,2.9846200000000005,2,2,0
CHEMBL4061765,CC(=O)N1N=C(c2ccccc2)CC1c1cccc(Nc2ccnc3cc(Cl)ccc23)c1,440.93400000000014,57.59,5,1,6.329400000000004,4,5,0
CHEMBL4849250,CC(C)=CCc1c(OC2CCCCCC2)cc(/C=C/c2ccc(C(F)(F)F)cc2)c(C(=O)O)c1O,488.5460000000001,66.76,4,2,7.889900000000008,7,3,0
CHEMBL4518084,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)Nc4ccc(-c5n[nH]c(=S)o5)cc4)cn1c23,536.589,108.63,10,2,3.810690000000002,4,6,0
CHEMBL5173500,CNc1nc(O)c([C@H](C)c2c[nH]c3cccc(Br)c23)o1,336.189,74.08000000000001,5,3,3.8175000000000017,3,3,1
CHEMBL3950930,Oc1ccc(CCNCC(O)Cn2c3ccc(Br)cc3c3cc(Br)ccc32)cc1O,534.2480000000002,77.64999999999999,5,4,4.923900000000005,7,4,0
CHEMBL232199,FC(F)(F)c1ccc(COC(Cn2cnc3ccccc32)c2ccccc2)cc1,396.4120000000001,27.05,3,0,6.013200000000004,6,4,0
CHEMBL4791708,CC[C@H](C)C(N)C(=O)NC(CS)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(=O)NC(C(=O)NC(CS)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(=O)NC(C(=O)NC(CS)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(N)=O)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)CC,2149.8720000000003,803.6999999999999,49,36,-4.407659999999888,71,3,0
CHEMBL5190985,CNc1nc(O)c([C@@H](C)c2c[nH]c3cccc(C)c23)o1,271.32,74.08000000000001,5,3,3.3634200000000014,3,3,1
CHEMBL4099739,O=C(O)c1ccc(-n2cc(CNc3ccc(Cl)c(C(F)(F)F)c3)c(-c3ccccc3)n2)cc1,471.8660000000001,67.15,5,2,6.521800000000004,6,4,0
CHEMBL1288857,CC(C)C1NC(=O)C(CCCN)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(CCCN)NC(=O)C(CC23CC4CC(CC(C4)C2)C3)NC(=O)C(CCCN)NC(=O)C(C(C)C)NC(=O)C(CCCN)NC(=O)C2CCCN2C(=O)C(Cc2ccccc2)NC(=O)C(CCCN)NC(=O)C(CC23CC4CC(CC(C4)C2)C3)NC(=O)C(CCCN)NC1=O,1782.344000000001,545.9399999999998,34,24,1.2434000000000065,28,13,0
CHEMBL4587114,Cc1ncc(Cn2cc(CCOS(C)(=O)=O)nn2)c(N)n1,312.355,125.88000000000001,9,2,-0.47427999999999954,6,2,1
