id,smiles,MolWt,TPSA,HBA,HBD,MolLogP,NumRotatableBonds,RingCount
NuBBE_287_obabel_3D.mol2,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,290.271,110.38000000000001,6,5,1.5460999999999998,1,3
NuBBE_655_obabel_3D.mol2,C[C@@H](O)[C@H]1CC[C@H](O)CC1,144.21399999999997,40.46,2,2,0.9182999999999999,1,1
NuBBE_1112_obabel_3D.mol2,CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2C3C(=O)C=C4C[C@@H](O)CC[C@@]4(C)[C@H]3CC[C@]12C)C(C)C,428.7010000000003,37.3,2,1,7.20380000000001,6,4
NuBBE_2098_obabel_3D.mol2,C=CC[C@]12C=CCC(=O)[C@]1(O)O[C@@H](c1cc(OC)c3c(c1)OCO3)[C@H]2C,358.3900000000001,74.22000000000001,6,1,2.9114000000000013,4,4
NuBBE_571_obabel_3D.mol2,CC1=C[C@@]2(O)C(=O)C(C)C[C@@H]3[C@@H](CC[C@]4(C)O[C@@H]4C2C1=O)C3(C)C,332.44000000000005,66.9,4,1,2.6815000000000007,0,4
NuBBE_1842_obabel_3D.mol2,C=C[C@@]1(C)CC[C@@H]2[C@@]3(C)CCCC(C)(C)[C@@H]3CC(=O)[C@]2(O)C1,304.474,37.3,2,1,4.515300000000004,1,3
NuBBE_2206_obabel_3D.mol2,CC(=O)O[C@@H](C)c1ccc(O)c(C(=O)C=C(C)C)c1,262.30499999999995,63.6,4,1,3.1652000000000013,4,1
NuBBE_1251_obabel_3D.mol2,CC(=O)O[C@@H]1[C@@H](O)[C@H](C)O[C@@H](Oc2cc3c(=O)[oH+]c4c(=O)c(=O)cc5c(=O)[oH+]c(c2O)c3c54)[C@@H]1O,490.3730000000003,199.32999999999998,13,5,-0.6436999999999997,3,5
NuBBE_1851_obabel_3D.mol2,C=CCc1c(O)c(OC)cc2c1O[C@H](c1ccc3c(c1)OCO3)[C@H]2C,340.37500000000006,57.150000000000006,5,1,4.095200000000003,4,4
NuBBE_18_obabel_3D.mol2,COc1cc(/C=C\C(=O)N2CCC=CC2=O)cc(OC)c1OC,317.34100000000007,65.07000000000001,6,0,2.0407,5,2
NuBBE_1264_obabel_3D.mol2,CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,406.4780000000002,75.99,5,2,5.497200000000006,3,4
NuBBE_195_obabel_3D.mol2,O=C(O)c1ccc(O)c(O)c1,154.12099999999998,77.76,4,3,0.7959999999999998,1,1
NuBBE_1741_obabel_3D.mol2,CC1=CC[C@](O)(C(C)C)CC1,154.25299999999996,20.23,1,1,2.5037000000000003,1,1
NuBBE_1051_obabel_3D.mol2,CC(C)CC(=O)C(=O)C(C)C1CC[C@@]2(C)C3=CC[C@@H]4C(C)(C)C(=O)CC[C@]4(C)[C@H]3CC[C@@]12C,454.69500000000033,51.21,3,0,6.9811000000000085,5,4
NuBBE_2274_obabel_3D.mol2,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,424.7540000000003,37.3,2,1,10.233499999999996,26,0
NuBBE_2047_obabel_3D.mol2,COc1cc2c(cc1O)[C@@H]1Oc3c(cc(O)c(OC)c3OC)C1CO2,346.33500000000015,86.61000000000001,7,2,2.7333000000000007,3,4
NuBBE_1540_obabel_3D.mol2,C=C1CC[C@@H]2[C@@H]1[C@@H]1[C@H](CC[C@H]2C)C1(C)C,204.35699999999994,0.0,0,0,4.270900000000004,0,3
NuBBE_266_obabel_3D.mol2,C=C1[C@@H](C)[C@@H]2[C@H](Cc3ccccc3)NC(=O)[C@@]23[C@H](OC(C)=O)/C=C/[C@@](C)(O)C(=O)C(C)C/C=C/[C@H]3[C@@H]1O,507.6270000000003,112.92999999999999,7,3,2.917100000000002,3,4
NuBBE_2048_obabel_3D.mol2,COc1ccc2c(c1OC)OCC1c3cc(O)c(OC)c(OC)c3O[C@@H]21,360.36200000000014,75.61000000000001,7,1,3.0363000000000016,4,4
NuBBE_2226_obabel_3D.mol2,C=Cc1cc(OC)c(OC)cc1OC,194.23,27.69,3,0,2.3554000000000004,4,1
NuBBE_1428_obabel_3D.mol2,CC(=O)C1CC[C@@H]2[C@H]1[C@H](C(C)C)CC[C@@]2(C)O,238.37099999999995,37.3,2,1,3.034800000000002,2,2
NuBBE_1450_obabel_3D.mol2,C=C(CO)[C@H]1Cc2c(cc(O)c3c2O[C@@H]2COc4cc(OC)c(OC)cc4C2C3=O)O1,426.4210000000002,103.68000000000002,8,2,2.3813000000000004,4,5
NuBBE_2134_obabel_3D.mol2,CC1=CCCCC1,96.17300000000002,0.0,0,0,2.5067000000000004,0,1
NuBBE_2465_obabel_3D.mol2,COc1cc([C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c2ccc(O)c(OC)c2)ccc1O,358.3900000000001,77.38000000000001,6,2,3.190200000000002,4,4
NuBBE_1055_obabel_3D.mol2,COC(=O)C[C@H]1C(C)(C)C(=O)C=C2O[C@]3(C)C4=CC(=O)O[C@@H](c5ccoc5)[C@]4(C)CC[C@]3(O)[C@]21C,484.5450000000003,112.27000000000002,8,1,3.802400000000003,3,5
NuBBE_1250_obabel_3D.mol2,CC(=O)O[C@H]1[C@H](Oc2cc3c(=O)[oH+]c4c(=O)c(=O)cc5c(=O)[oH+]c(c2O)c3c54)O[C@@H](C)[C@H](O)[C@H]1O,490.3730000000002,199.32999999999996,13,5,-0.6437,3,5
NuBBE_11_obabel_3D.mol2,C[C@@H]1O[C@@H](OC2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,450.39600000000013,186.37,11,7,0.038099999999999745,3,4
NuBBE_1606_obabel_3D.mol2,Cc1ccc2c(c1)[C@H](C(C)C)CC[C@@H]2C,202.34099999999995,0.0,0,0,4.6319200000000045,1,2
NuBBE_189_obabel_3D.mol2,CC1(C)[C@H](O)[C@H](O)C[C@@]2(C)[C@@H]3CC[C@H]4C[C@@]3(CC[C@@H]12)C[C@@]4(C)O,322.48900000000003,60.69,3,3,3.111800000000002,0,4
NuBBE_2005_obabel_3D.mol2,COc1ccc([C@H]2CC(=O)c3c(O)cc(OC)c(C)c3O2)cc1,314.33700000000005,64.99000000000001,5,1,3.4243200000000016,3,3
NuBBE_1527_obabel_3D.mol2,O=C1NCCC=C1CC(=O)c1ccc(O)cc1,231.251,66.4,4,2,1.4113,3,2
NuBBE_1341_obabel_3D.mol2,Cc1ccc2c(C)ccc(C(C)C)c2c1,198.309,0.0,0,0,4.580040000000004,1,2
NuBBE_138_obabel_3D.mol2,O=C(O)c1cc(O)c(O)c(O)c1,170.11999999999998,97.99000000000001,5,4,0.5015999999999998,1,1
